,num_ex,prompt_name,has_examples,diff_sentence,model,temperature,pearson,std
7,3,global,False,yes,vicuna_7b_1.1,0.3,0.0720853256114541,0.703554096739331
15,3,global,False,yes,llama_7b,0.3,-0.01846216808380026,1.6548281106931584
23,3,global,False,yes,vicuna_13b,0.3,0.19691831814453528,0.32967096111787675
31,3,global,False,yes,mpt_7b_chat,0.3,0.03101820170179221,0.3364199712167752
39,3,global,False,yes,alpaca_13b,0.3,0.08214468435000746,1.0203120220937276
47,3,global,False,yes,alpaca_lora_7b,0.3,-0.12473261918979985,0.6190257866256661
56,3,global,False,yes,tiiuae/falcon_7b_instruct,0.3,-0.03237354512619323,0.6097060727636116
68,3,global,False,yes,tiiuae/falcon_40b_instruct,0.3,0.17212501418022957,0.7127642652750242
76,3,global,False,yes,alpaca_lora_65B_HF,0.3,0.25601028157960765,0.8173797345907785
79,3,global,False,yes,llama_13b,0.3,0.13069580092348015,1.903267282773101
87,3,global,False,yes,stablelm_tuned_alpha_7b,0.3,-0.010146030918084768,1.3787775007675316
95,3,global,False,yes,llama_65b,0.3,0.23487692470522248,0.5305483448885918
96,3,tal,False,yes,gpt_3.5_turbo,1.5,0.4354117337649636,0.7220207817309737
103,3,global,False,yes,text_davinci_003,1.5,0.3351863774359304,0.9160581925451886
111,3,global,False,yes,gpt_3.5_turbo,1.5,0.42801717024253016,0.7724177143252795
114,3,global,False,yes,gpt_4,1.5,0.7595336916799362,0.6461196628904851
6,4,global,True,yes,vicuna_7b_1.1,0.3,0.07249923429246732,0.9971889849505648
14,4,global,True,yes,llama_7b,0.3,0.0339974226956188,1.4868615131369376
22,4,global,True,yes,vicuna_13b,0.3,0.18517035381412258,0.5792275004376102
30,4,global,True,yes,mpt_7b_chat,0.3,0.034305903664696484,1.0718798988672726
38,4,global,True,yes,alpaca_13b,0.3,-0.14040720311288535,1.1756421491166185
46,4,global,True,yes,alpaca_lora_7b,0.3,-0.04305930373088324,1.174196622521986
55,4,global,True,yes,tiiuae/falcon_7b_instruct,0.3,0.1669896943460008,1.7416577269427445
67,4,global,True,yes,tiiuae/falcon_40b_instruct,0.3,0.036391333782283326,0.9307412475762982
75,4,global,True,yes,alpaca_lora_65B_HF,0.3,0.24141164730752918,0.8054099617768267
78,4,global,True,yes,llama_13b,0.3,0.15696090405023327,1.5555812524416734
86,4,global,True,yes,stablelm_tuned_alpha_7b,0.3,0.06199233169753093,1.8768041818423171
94,4,global,True,yes,llama_65b,0.3,0.1298392065580957,1.1797284713991474
101,4,global,True,yes,gpt_3.5_turbo,1.5,0.4813769823578271,0.6554494508723169
110,4,global,True,yes,text_davinci_003,1.5,0.32310630748452046,0.7862218212355034
115,4,global,True,yes,gpt_4,1.5,0.8502918000944828,0.5745609383120538
0,3,tal,True,yes,vicuna_7b_1.1,0.3,0.021069730100866657,0.9194306610419408
8,3,tal,True,yes,llama_7b,0.3,0.06604012640551761,1.5923444752247446
16,3,tal,True,yes,vicuna_13b,0.3,0.10718152970964297,0.4908821632568917
24,3,tal,True,yes,mpt_7b_chat,0.3,0.11124328697096861,1.2283829642626558
32,3,tal,True,yes,alpaca_13b,0.3,0.20046573602158796,1.2943583569316923
40,3,tal,True,yes,alpaca_lora_7b,0.3,0.06691303078540638,1.3937508601157542
48,3,tal,True,yes,tiiuae/falcon_7b_instruct,0.3,0.1480673281735583,1.9802070030976902
54,3,tal,True,yes,llama_13b,0.3,-0.025460847305981173,1.8076482443506852
61,3,tal,True,yes,tiiuae/falcon_40b_instruct,0.3,0.37958001718328177,1.1211532701578124
69,3,tal,True,yes,alpaca_lora_65B_HF,0.3,0.27817721688371333,0.8893600417081667
80,3,tal,True,yes,stablelm_tuned_alpha_7b,0.3,0.006226735225939762,1.7465608733746072
88,3,tal,True,yes,llama_65b,0.3,0.19731272391185806,1.3070140107661463
97,3,tal,True,yes,gpt_3.5_turbo,1.5,0.5169357682691962,0.6917460806263447
102,3,tal,True,yes,gpt_4,1.5,0.9161706126075839,0.5518798451976363
104,3,tal,True,yes,text_davinci_003,1.5,0.4747081062852122,0.7885204801560782
121,,,,,Human,,,1.618986864371067
